iter	Passed	Remaining
939	1852	118
940	1855	116
941	1856	114
942	1858	112
943	1860	110
944	1862	108
945	1863	106
946	1865	104
947	1867	102
948	1869	100
949	1871	98
950	1873	96
951	1875	94
952	1876	92
953	1878	90
954	1880	88
955	1882	86
956	1884	84
957	1886	82
958	1888	80
959	1890	78
960	1891	76
961	1893	74
962	1895	72
963	1898	70
964	1900	68
965	1902	66
966	1904	65
967	1906	63
968	1908	61
969	1910	59
970	1913	57
971	1916	55
972	1918	53
973	1920	51
974	1921	49
975	1923	47
976	1925	45
977	1927	43
978	1929	41
979	1931	39
980	1933	37
981	1935	35
982	1937	33
983	1939	31
984	1941	29
985	1943	27
986	1945	25
987	1947	23
988	1949	21
989	1951	19
990	1953	17
991	1955	15
992	1956	13
993	1959	11
994	1961	9
995	1963	7
996	1965	5
997	1967	3
998	1969	1
999	1971	0
